05-23 16:58:44,531 [1] DEBUG Server [(null)] - Server started, listening port: 2551
05-23 16:58:44,744 [1] DEBUG Server [(null)] - 有客户端连接了, code:Success, msg:Client connection accepted, remote endpoint: 127.0.0.1:55827
05-23 16:58:44,750 [1] DEBUG Server [(null)] - 创建战场:gmQOtFosvUSfou64fNf6Jw==
05-23 17:00:18,691 [1] DEBUG Server [(null)] - Server started, listening port: 2551
05-23 17:00:19,283 [1] DEBUG Server [(null)] - 有客户端连接了, code:Success, msg:Client connection accepted, remote endpoint: 127.0.0.1:55835
05-23 17:00:19,291 [1] DEBUG Server [(null)] - 创建战场:ePF83257SECfvIU181o5QQ==
05-23 17:00:19,524 [1] DEBUG Server [(null)] - 1
05-23 17:00:19,535 [1] DEBUG Server [(null)] - 2
05-23 17:00:19,554 [1] DEBUG Server [(null)] - 3
05-23 17:00:19,574 [1] DEBUG Server [(null)] - 4
05-23 17:00:19,598 [1] DEBUG Server [(null)] - 5
05-23 17:00:19,604 [1] DEBUG Server [(null)] - 6
05-23 17:00:19,607 [1] DEBUG Server [(null)] - 7
05-23 17:00:19,608 [1] DEBUG Server [(null)] - 8
05-23 17:00:19,608 [1] DEBUG Server [(null)] - 9
05-23 17:00:19,609 [1] DEBUG Server [(null)] - 10
05-23 17:00:19,615 [1] DEBUG Server [(null)] - 11
05-23 17:00:19,635 [1] DEBUG Server [(null)] - 12
05-23 17:00:19,654 [1] DEBUG Server [(null)] - 13
05-23 17:00:19,674 [1] DEBUG Server [(null)] - 14
05-23 17:00:19,691 [1] DEBUG Server [(null)] - 15
05-23 17:00:19,698 [1] DEBUG Server [(null)] - 16
05-23 17:00:19,714 [1] DEBUG Server [(null)] - 17
05-23 17:00:19,735 [1] DEBUG Server [(null)] - 18
05-23 17:00:19,754 [1] DEBUG Server [(null)] - 19
05-23 17:00:19,775 [1] DEBUG Server [(null)] - 20
05-23 17:00:19,812 [1] DEBUG Server [(null)] - 21
05-23 17:00:19,832 [1] DEBUG Server [(null)] - 22
05-23 17:00:19,851 [1] DEBUG Server [(null)] - 23
05-23 17:00:19,871 [1] DEBUG Server [(null)] - 24
05-23 17:00:19,892 [1] DEBUG Server [(null)] - 25
05-23 17:00:19,915 [1] DEBUG Server [(null)] - 26
05-23 17:00:19,935 [1] DEBUG Server [(null)] - 27
05-23 17:00:19,955 [1] DEBUG Server [(null)] - 28
05-23 17:00:19,975 [1] DEBUG Server [(null)] - 29
05-23 17:00:19,996 [1] DEBUG Server [(null)] - 30
05-23 17:00:20,025 [1] DEBUG Server [(null)] - 31
05-23 17:00:20,044 [1] DEBUG Server [(null)] - 32
05-23 17:00:20,070 [1] DEBUG Server [(null)] - 33
05-23 17:00:20,084 [1] DEBUG Server [(null)] - 34
05-23 17:00:20,099 [1] DEBUG Server [(null)] - 35
05-23 17:00:20,105 [1] DEBUG Server [(null)] - 36
05-23 17:00:20,123 [1] DEBUG Server [(null)] - 37
05-23 17:00:20,145 [1] DEBUG Server [(null)] - 38
05-23 17:00:20,167 [1] DEBUG Server [(null)] - 39
05-23 17:00:20,191 [1] DEBUG Server [(null)] - 40
05-23 17:00:20,214 [1] DEBUG Server [(null)] - 41
05-23 17:00:20,235 [1] DEBUG Server [(null)] - 42
05-23 17:00:20,255 [1] DEBUG Server [(null)] - 43
05-23 17:00:20,275 [1] DEBUG Server [(null)] - 44
05-23 17:00:20,295 [1] DEBUG Server [(null)] - 45
05-23 17:00:20,328 [1] DEBUG Server [(null)] - 46
05-23 17:00:20,349 [1] DEBUG Server [(null)] - 47
05-23 17:00:20,368 [1] DEBUG Server [(null)] - 48
05-23 17:00:20,388 [1] DEBUG Server [(null)] - 49
05-23 17:00:20,407 [1] DEBUG Server [(null)] - 50
05-23 17:00:20,432 [1] DEBUG Server [(null)] - 51
05-23 17:00:20,453 [1] DEBUG Server [(null)] - 52
05-23 17:00:20,472 [1] DEBUG Server [(null)] - 53
05-23 17:00:20,492 [1] DEBUG Server [(null)] - 54
05-23 17:00:20,511 [1] DEBUG Server [(null)] - 55
05-23 17:00:20,517 [1] DEBUG Server [(null)] - 56
05-23 17:00:20,533 [1] DEBUG Server [(null)] - 57
05-23 17:00:20,553 [1] DEBUG Server [(null)] - 58
05-23 17:00:20,573 [1] DEBUG Server [(null)] - 59
05-23 17:00:20,592 [1] DEBUG Server [(null)] - 60
05-23 17:00:20,637 [1] DEBUG Server [(null)] - 61
05-23 17:00:20,658 [1] DEBUG Server [(null)] - 62
05-23 17:00:20,678 [1] DEBUG Server [(null)] - 63
05-23 17:00:20,697 [1] DEBUG Server [(null)] - 64
05-23 17:00:20,715 [1] DEBUG Server [(null)] - 65
05-23 17:00:20,719 [1] DEBUG Server [(null)] - 66
05-23 17:00:20,737 [1] DEBUG Server [(null)] - 67
05-23 17:00:20,756 [1] DEBUG Server [(null)] - 68
05-23 17:00:20,777 [1] DEBUG Server [(null)] - 69
05-23 17:00:20,796 [1] DEBUG Server [(null)] - 70
05-23 17:00:20,842 [1] DEBUG Server [(null)] - 71
05-23 17:00:20,863 [1] DEBUG Server [(null)] - 72
05-23 17:00:20,884 [1] DEBUG Server [(null)] - 73
05-23 17:00:20,903 [1] DEBUG Server [(null)] - 74
05-23 17:00:20,923 [1] DEBUG Server [(null)] - 75
05-23 17:00:20,946 [1] DEBUG Server [(null)] - 76
05-23 17:00:20,966 [1] DEBUG Server [(null)] - 77
05-23 17:00:20,986 [1] DEBUG Server [(null)] - 78
05-23 17:00:21,007 [1] DEBUG Server [(null)] - 79
05-23 17:00:21,026 [1] DEBUG Server [(null)] - 80
05-23 17:00:21,054 [1] DEBUG Server [(null)] - 81
05-23 17:00:21,074 [1] DEBUG Server [(null)] - 82
05-23 17:00:21,095 [1] DEBUG Server [(null)] - 83
05-23 17:00:21,114 [1] DEBUG Server [(null)] - 84
05-23 17:00:21,132 [1] DEBUG Server [(null)] - 85
05-23 17:00:21,134 [1] DEBUG Server [(null)] - 86
05-23 17:00:21,154 [1] DEBUG Server [(null)] - 87
05-23 17:00:21,175 [1] DEBUG Server [(null)] - 88
05-23 17:00:21,195 [1] DEBUG Server [(null)] - 89
05-23 17:00:21,215 [1] DEBUG Server [(null)] - 90
05-23 17:00:21,259 [1] DEBUG Server [(null)] - 91
05-23 17:00:21,281 [1] DEBUG Server [(null)] - 92
05-23 17:00:21,299 [1] DEBUG Server [(null)] - 93
05-23 17:00:21,320 [1] DEBUG Server [(null)] - 94
05-23 17:00:21,340 [1] DEBUG Server [(null)] - 95
05-23 17:00:21,359 [1] DEBUG Server [(null)] - 96
